,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,,,X,Y,Hodoscope Index,Calculated Component,Size
,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,410,2
,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,432,2
,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,454,2
,,,,,,,,,,,,,,,,,,,,,,,,,3,10,0,476,2
,,,,,,,,,,,,,,,,,,,,,,,,,3,11,3,498,2
,,,,,,,,,,,,,,,,,,,,,,,,,4,-10,S5E2,37,2
,,,,,,,,,,,,,,,,,,,,,,,,,4,-9,0,59,2
,,,,,,,,,,,,,,,,,,,,,,,,,4,-8,S5E5,81,2
,,,,,,,,,,,,,,,,,,,,,,,,,4,-7,0,103,2
,,,,,,,,,,,,,,,,,,,,,,,,,4,-6,S5E8,125,2
,,,,,,,,,,,,,,,,,,,,,,,,,4,-5,0,147,2
,,,,,,,,,,,,,,,,,,,,,,,,,4,-4,S4E20,169,2
,,,,,,,,,,,,,,,,,,,,,,,,,4,-3,S4E19,191,2
,,,,,,,,,,,,,,,,,,,,,,,,,4,3,S4E13,323,2
,,,,,,,,,,,,,,,,,,,,,,,,,4,4,S3E8,345,2
,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,367,2
,,,,,,,,,,,,,,,,,,,,,,,,,4,6,S3E7,389,2
,,,,,,,,,,,,,,,,,,,,,,,,,4,7,0,411,2
,,,,,,,,,,,,,,,,,,,,,,,,,4,8,S3E6,433,2
,,,,,,,,,,,,,,,,,,,,,,,,,4,9,0,455,2
,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,477,2
,,,,,,,,,,,,,,,,,,,,,,,,,5,-10,0,38,2
,,,,,,,,,,,,,,,,,,,,,,,,,5,-9,0,60,2
,,,,,,,,,,,,,,,,,,,,,,,,,5,-8,0,82,2
,,,,,,,,,,,,,,,,,,,,,,,,,5,-7,0,104,2
,,,,,,,,,,,,,,,,,,,,,,,,,5,-6,0,126,2
,,,,,,,,,,,,,,,,,,,,,,,,,5,-5,0,148,2
,,,,,,,,,,,,,,,,,,,,,,,,,5,-4,S4E12,170,2
,,,,,,,,,,,,,,,,,,,,,,,,,5,-3,0,192,2
,,,,,,,,,,,,,,,,,,,,,,,,,5,-2,S4E11,214,2
,,,,,,,,,,,,,,,,,,,,,,,,,5,-1,0,236,2
,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0,280,2
,,,,,,,,,,,,,,,,,,,,,,,,,5,2,S43E9,302,2
,,,,,,,,,,,,,,,,,,,,,,,,,5,3,0,324,2
,,,,,,,,,,,,,,,,,,,,,,,,,5,4,0,346,2
,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,368,2
,,,,,,,,,,,,,,,,,,,,,,,,,5,6,0,390,2
,,,,,,,,,,,,,,,,,,,,,,,,,5,7,0,412,2
,,,,,,,,,,,,,,,,,,,,,,,,,5,8,0,434,2
,,,,,,,,,,,,,,,,,,,,,,,,,5,9,0,456,2
,,,,,,,,,,,,,,,,,,,,,,,,,5,10,0,478,2
,,,,,,,,,,,,,,,,,,,,,,,,,6,-10,0,39,2
,,,,,,,,,,,,,,,,,,,,,,,,,6,-9,S5E1,61,2
,,,,,,,,,,,,,,,,,,,,,,,,,6,-8,S5E4,83,2
,,,,,,,,,,,,,,,,,,,,,,,,,6,-7,0,105,2
,,,,,,,,,,,,,,,,,,,,,,,,,6,-6,S5E7,127,2
,,,,,,,,,,,,,,,,,,,,,,,,,6,-5,0,149,2
,,,,,,,,,,,,,,,,,,,,,,,,,6,-4,0,171,2
,,,,,,,,,,,,,,,,,,,,,,,,,6,-3,0,193,2
,,,,,,,,,,,,,,,,,,,,,,,,,6,-2,0,215,2
,,,,,,,,,,,,,,,,,,,,,,,,,6,-1,0,237,2
,,,,,,,,,,,,,,,,,,,,,,,,,6,1,0,281,2
,,,,,,,,,,,,,,,,,,,,,,,,,6,2,0,303,2
,,,,,,,,,,,,,,,,,,,,,,,,,6,3,0,325,2
,,,,,,,,,,,,,,,,,,,,,,,,,6,4,S3E5,347,2
,,,,,,,,,,,,,,,,,,,,,,,,,6,5,0,369,2
,,,,,,,,,,,,,,,,,,,,,,,,,6,6,S3E4,391,2
,,,,,,,,,,,,,,,,,,,,,,,,,6,7,0,413,2
,,,,,,,,,,,,,,,,,,,,,,,,,6,8,S3E3,435,2
,,,,,,,,,,,,,,,,,,,,,,,,,6,9,0,457,2
,,,,,,,,,,,,,,,,,,,,,,,,,6,10,0,479,2
,,,,,,,,,,,,,,,,,,,,,,,,,7,-9,0,62,2
,,,,,,,,,,,,,,,,,,,,,,,,,7,-8,0,84,2
,,,,,,,,,,,,,,,,,,,,,,,,,7,-7,0,106,2
,,,,,,,,,,,,,,,,,,,,,,,,,7,-6,0,128,2
,,,,,,,,,,,,,,,,,,,,,,,,,7,-5,0,150,2
,,,,,,,,,,,,,,,,,,,,,,,,,7,-4,S4E8,172,2
,,,,,,,,,,,,,,,,,,,,,,,,,7,-3,0,194,2
,,,,,,,,,,,,,,,,,,,,,,,,,7,-2,S4E7,216,2
,,,,,,,,,,,,,,,,,,,,,,,,,7,-1,0,238,2
,,,,,,,,,,,,,,,,,,,,,,,,,7,1,0,282,2
,,,,,,,,,,,,,,,,,,,,,,,,,7,2,S4E5,304,2
,,,,,,,,,,,,,,,,,,,,,,,,,7,3,0,326,2
,,,,,,,,,,,,,,,,,,,,,,,,,7,4,0,348,2
,,,,,,,,,,,,,,,,,,,,,,,,,7,5,0,370,2
,,,,,,,,,,,,,,,,,,,,,,,,,7,6,0,392,2
,,,,,,,,,,,,,,,,,,,,,,,,,7,7,0,414,2
,,,,,,,,,,,,,,,,,,,,,,,,,7,8,0,436,2
,,,,,,,,,,,,,,,,,,,,,,,,,7,9,0,458,2
,,,,,,,,,,,,,,,,,,,,,,,,,8,-8,0,85,2
,,,,,,,,,,,,,,,,,,,,,,,,,8,-7,S5E3,107,2
,,,,,,,,,,,,,,,,,,,,,,,,,8,-6,S5E6,129,2
,,,,,,,,,,,,,,,,,,,,,,,,,8,-5,0,151,2
,,,,,,,,,,,,,,,,,,,,,,,,,8,-4,0,173,2
,,,,,,,,,,,,,,,,,,,,,,,,,8,-3,0,195,2
,,,,,,,,,,,,,,,,,,,,,,,,,8,-2,0,217,2
,,,,,,,,,,,,,,,,,,,,,,,,,8,-1,0,239,2
,,,,,,,,,,,,,,,,,,,,,,,,,8,1,0,283,2
,,,,,,,,,,,,,,,,,,,,,,,,,8,2,0,305,2
,,,,,,,,,,,,,,,,,,,,,,,,,8,3,0,327,2
,,,,,,,,,,,,,,,,,,,,,,,,,8,4,S3E2,349,2
,,,,,,,,,,,,,,,,,,,,,,,,,8,5,0,371,2
,,,,,,,,,,,,,,,,,,,,,,,,,8,6,S3E1,393,2
,,,,,,,,,,,,,,,,,,,,,,,,,8,7,0,415,2
,,,,,,,,,,,,,,,,,,,,,,,,,8,8,0,437,2
,,,,,,,,,,,,,,,,,,,,,,,,,9,-7,0,108,2
,,,,,,,,,,,,,,,,,,,,,,,,,9,-6,0,130,2
,,,,,,,,,,,,,,,,,,,,,,,,,9,-5,0,152,2
,,,,,,,,,,,,,,,,,,,,,,,,,9,-4,S4E4,174,2
,,,,,,,,,,,,,,,,,,,,,,,,,9,-3,0,196,2
,,,,,,,,,,,,,,,,,,,,,,,,,9,-2,S4E3,218,2
,,,,,,,,,,,,,,,,,,,,,,,,,9,-1,0,240,2
,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0,284,2
,,,,,,,,,,,,,,,,,,,,,,,,,9,2,S4E1,306,2
,,,,,,,,,,,,,,,,,,,,,,,,,9,3,0,328,2
,,,,,,,,,,,,,,,,,,,,,,,,,9,4,0,350,2
,,,,,,,,,,,,,,,,,,,,,,,,,9,5,0,372,2
,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,394,2
,,,,,,,,,,,,,,,,,,,,,,,,,9,7,0,416,2
,,,,,,,,,,,,,,,,,,,,,,,,,10,-6,0,131,2
,,,,,,,,,,,,,,,,,,,,,,,,,10,-5,0,153,2
,,,,,,,,,,,,,,,,,,,,,,,,,10,-4,0,175,2
,,,,,,,,,,,,,,,,,,,,,,,,,10,-3,0,197,2
,,,,,,,,,,,,,,,,,,,,,,,,,10,-2,0,219,2
,,,,,,,,,,,,,,,,,,,,,,,,,10,-1,0,241,2
,,,,,,,,,,,,,,,,,,,,,,,,,10,1,0,285,2
,,,,,,,,,,,,,,,,,,,,,,,,,10,2,0,307,2
,,,,,,,,,,,,,,,,,,,,,,,,,10,3,0,329,2
,,,,,,,,,,,,,,,,,,,,,,,,,10,4,0,351,2
,,,,,,,,,,,,,,,,,,,,,,,,,10,5,0,373,2
,,,,,,,,,,,,,,,,,,,,,,,,,10,6,0,395,2
,,,,,,,,,,,,,,,,,,,,,,,,,11,-3,0,198,2
,,,,,,,,,,,,,,,,,,,,,,,,,11,-2,0,220,2
,,,,,,,,,,,,,,,,,,,,,,,,,11,-1,0,242,2
,,,,,,,,,,,,,,,,,,,,,,,,,11,1,0,286,2
,,,,,,,,,,,,,,,,,,,,,,,,,11,2,0,308,2
,,,,,,,,,,,,,,,,,,,,,,,,,11,3,0,330,2
