Hall B RICH Hardware Interlock System EPICS Interface - S1 EP,,,,,,,
PV #,Group #,Signal Category,LabVIEW_Signal_Name,Access Type,Data Type,EPICS Process Variable (PV),Units
113,14,,RICH EPICS S1 EP Humidity 14 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID14_LATCHED_HI_ERR,N/A
114,15,,RICH EPICS S1 EP Humidity 15 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID15_LATCHED_HI_ERR,N/A
115,16,,RICH EPICS S1 EP Humidity 16 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID16_LATCHED_HI_ERR,N/A
116,17,,RICH EPICS S1 EP Temp 1 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP1_LATCHED_HI_ERR,N/A
117,18,,RICH EPICS S1 EP Temp 2 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP2_LATCHED_HI_ERR,N/A
118,19,,RICH EPICS S1 EP Temp 3 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP3_LATCHED_HI_ERR,N/A
119,20,,RICH EPICS S1 EP Temp 4 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP4_LATCHED_HI_ERR,N/A
120,21,,RICH EPICS S1 EP Temp 5 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP5_LATCHED_HI_ERR,N/A
121,22,,RICH EPICS S1 EP Temp 6 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP6_LATCHED_HI_ERR,N/A
122,23,,RICH EPICS S1 EP Temp 7 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP7_LATCHED_HI_ERR,N/A
123,24,,RICH EPICS S1 EP Temp 8 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP8_LATCHED_HI_ERR,N/A
124,25,,RICH EPICS S1 EP Temp 9 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP9_LATCHED_HI_ERR,N/A
125,26,,RICH EPICS S1 EP Temp 10 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP10_LATCHED_HI_ERR,N/A
126,27,,RICH EPICS S1 EP Temp 11 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP11_LATCHED_HI_ERR,N/A
127,28,,RICH EPICS S1 EP Temp 12 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP12_LATCHED_HI_ERR,N/A
128,29,,RICH EPICS S1 EP Temp 13 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP13_LATCHED_HI_ERR,N/A
129,30,,RICH EPICS S1 EP Temp 14 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP14_LATCHED_HI_ERR,N/A
130,31,,RICH EPICS S1 EP Temp 15 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP15_LATCHED_HI_ERR,N/A
131,32,,RICH EPICS S1 EP Temp 16 Hi Latched Error,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP16_LATCHED_HI_ERR,N/A
