#, 1st Col , Must be S or #,, ,,,,(S=UsedSlot #=comment)
#, Crate No,   Crate Name  ,Crate Type, Slot,Chan,Sys,Detector,Element
#,"FADC Map for all channels , FADC starts in slot 3",,,,,,,
#,L1 Group,,,,,,,
S,66,ADCBAND1,VXS,13,2,ADC,BAND,301_R
S,66,ADCBAND1,VXS,13,3,ADC,BAND,401_R
S,66,ADCBAND1,VXS,13,4,ADC,BAND,501_R
S,66,ADCBAND1,VXS,13,5,ADC,BAND,102_R
S,66,ADCBAND1,VXS,13,6,ADC,BAND,202_R
S,66,ADCBAND1,VXS,13,7,ADC,BAND,302_R
S,66,ADCBAND1,VXS,13,8,ADC,BAND,402_R
S,66,ADCBAND1,VXS,13,9,ADC,BAND,502_R
S,66,ADCBAND1,VXS,13,10,ADC,BAND,103_R
S,66,ADCBAND1,VXS,13,11,ADC,BAND,203_R
S,66,ADCBAND1,VXS,13,12,ADC,BAND,303_R
S,66,ADCBAND1,VXS,13,13,ADC,BAND,403_R
S,66,ADCBAND1,VXS,13,14,ADC,BAND,503_R
S,66,ADCBAND1,VXS,13,15,ADC,BAND,V11B
#,R2 Group,,,,,,,
S,66,ADCBAND1,VXS,14,0,ADC,BAND,104_R
S,66,ADCBAND1,VXS,14,1,ADC,BAND,204_R
S,66,ADCBAND1,VXS,14,2,ADC,BAND,304_R
S,66,ADCBAND1,VXS,14,3,ADC,BAND,404_R
S,66,ADCBAND1,VXS,14,4,ADC,BAND,504_R
S,66,ADCBAND1,VXS,14,5,ADC,BAND,105_R
S,66,ADCBAND1,VXS,14,6,ADC,BAND,205_R
S,66,ADCBAND1,VXS,14,7,ADC,BAND,305_R
S,66,ADCBAND1,VXS,14,8,ADC,BAND,405_R
S,66,ADCBAND1,VXS,14,9,ADC,BAND,505_R
S,66,ADCBAND1,VXS,14,10,ADC,BAND,106_R
S,66,ADCBAND1,VXS,14,11,ADC,BAND,206_R
S,66,ADCBAND1,VXS,14,12,ADC,BAND,306_R
S,66,ADCBAND1,VXS,14,13,ADC,BAND,406_R
S,66,ADCBAND1,VXS,14,14,ADC,BAND,506_R
S,66,ADCBAND1,VXS,14,15,ADC,BAND,V12B
#,R3 Group,,,,,,,
S,66,ADCBAND1,VXS,15,0,ADC,BAND,107_R
S,66,ADCBAND1,VXS,15,1,ADC,BAND,207_R
S,66,ADCBAND1,VXS,15,2,ADC,BAND,307_R
S,66,ADCBAND1,VXS,15,3,ADC,BAND,407_R
S,66,ADCBAND1,VXS,15,4,ADC,BAND,507_R
S,66,ADCBAND1,VXS,15,5,ADC,BAND,108_R
S,66,ADCBAND1,VXS,15,6,ADC,BAND,208_R
S,66,ADCBAND1,VXS,15,7,ADC,BAND,308_R
S,66,ADCBAND1,VXS,15,8,ADC,BAND,408_R
S,66,ADCBAND1,VXS,15,9,ADC,BAND,508_R
S,66,ADCBAND1,VXS,15,10,ADC,BAND,109_R
S,66,ADCBAND1,VXS,15,11,ADC,BAND,209_R
S,66,ADCBAND1,VXS,15,12,ADC,BAND,309_R
S,66,ADCBAND1,VXS,15,13,ADC,BAND,409_R
S,66,ADCBAND1,VXS,15,14,ADC,BAND,509_R
S,66,ADCBAND1,VXS,15,15,ADC,BAND,V13B
#,R4 Group,,,,,,,
S,66,ADCBAND1,VXS,16,0,ADC,BAND,110_R
S,66,ADCBAND1,VXS,16,1,ADC,BAND,210_R
S,66,ADCBAND1,VXS,16,2,ADC,BAND,310_R
S,66,ADCBAND1,VXS,16,3,ADC,BAND,410_R
S,66,ADCBAND1,VXS,16,4,ADC,BAND,510_R
S,66,ADCBAND1,VXS,16,5,ADC,BAND,111B_R
S,66,ADCBAND1,VXS,16,6,ADC,BAND,211B_R
S,66,ADCBAND1,VXS,16,7,ADC,BAND,311B_R
S,66,ADCBAND1,VXS,16,8,ADC,BAND,411B_R
S,66,ADCBAND1,VXS,16,9,ADC,BAND,511B_R
S,66,ADCBAND1,VXS,16,10,ADC,BAND,112B_R
S,66,ADCBAND1,VXS,16,11,ADC,BAND,212B_R
S,66,ADCBAND1,VXS,16,12,ADC,BAND,312B_R
S,66,ADCBAND1,VXS,16,13,ADC,BAND,412B_R
S,66,ADCBAND1,VXS,16,14,ADC,BAND,512B_R
S,66,ADCBAND1,VXS,16,15,ADC,BAND,V14B
#,R5 Group,,,,,,,
S,66,ADCBAND1,VXS,17,0,ADC,BAND,113B_R
S,66,ADCBAND1,VXS,17,1,ADC,BAND,213B_R
S,66,ADCBAND1,VXS,17,2,ADC,BAND,313B_R
S,66,ADCBAND1,VXS,17,3,ADC,BAND,413B_R
S,66,ADCBAND1,VXS,17,4,ADC,BAND,513B_R
S,66,ADCBAND1,VXS,17,5,ADC,BAND,114B_R
S,66,ADCBAND1,VXS,17,6,ADC,BAND,214B_R
S,66,ADCBAND1,VXS,17,7,ADC,BAND,314B_R
S,66,ADCBAND1,VXS,17,8,ADC,BAND,414B_R
S,66,ADCBAND1,VXS,17,9,ADC,BAND,514B_R
S,66,ADCBAND1,VXS,17,10,ADC,BAND,115B_R
S,66,ADCBAND1,VXS,17,11,ADC,BAND,215B_R
S,66,ADCBAND1,VXS,17,12,ADC,BAND,315B_R
S,66,ADCBAND1,VXS,17,13,ADC,BAND,415B_R
S,66,ADCBAND1,VXS,17,14,ADC,BAND,515B_R
S,66,ADCBAND1,VXS,17,15,ADC,BAND,V15B
#,R6 Group,,,,,,,
S,66,ADCBAND1,VXS,18,0,ADC,BAND,111B_L
S,66,ADCBAND1,VXS,18,1,ADC,BAND,211B_L
S,66,ADCBAND1,VXS,18,2,ADC,BAND,311B_L
S,66,ADCBAND1,VXS,18,3,ADC,BAND,411B_L
S,66,ADCBAND1,VXS,18,4,ADC,BAND,511B_L
S,66,ADCBAND1,VXS,18,5,ADC,BAND,112B_L
S,66,ADCBAND1,VXS,18,6,ADC,BAND,212B_L
S,66,ADCBAND1,VXS,18,7,ADC,BAND,312B_L
S,66,ADCBAND1,VXS,18,8,ADC,BAND,412B_L
S,66,ADCBAND1,VXS,18,9,ADC,BAND,512B_L
S,66,ADCBAND1,VXS,18,10,ADC,BAND,113B_L
S,66,ADCBAND1,VXS,18,11,ADC,BAND,213B_L
S,66,ADCBAND1,VXS,18,12,ADC,BAND,313B_L
S,66,ADCBAND1,VXS,18,13,ADC,BAND,413B_L
S,66,ADCBAND1,VXS,18,14,ADC,BAND,513B_L
S,66,ADCBAND1,VXS,18,15,ADC,BAND,V16B
#,R7 Group,,,,,,,
S,66,ADCBAND1,VXS,19,0,ADC,BAND,114B_L
S,66,ADCBAND1,VXS,19,1,ADC,BAND,214B_L
S,66,ADCBAND1,VXS,19,2,ADC,BAND,314B_L
S,66,ADCBAND1,VXS,19,3,ADC,BAND,414B_L
S,66,ADCBAND1,VXS,19,4,ADC,BAND,514B_L
S,66,ADCBAND1,VXS,19,5,ADC,BAND,115B_L
S,66,ADCBAND1,VXS,19,6,ADC,BAND,215B_L
S,66,ADCBAND1,VXS,19,7,ADC,BAND,315B_L
S,66,ADCBAND1,VXS,19,8,ADC,BAND,415B_L
S,66,ADCBAND1,VXS,19,9,ADC,BAND,515B_L
S,66,ADCBAND1,VXS,19,10,ADC,BAND,116B_L
S,66,ADCBAND1,VXS,19,11,ADC,BAND,216B_L
S,66,ADCBAND1,VXS,19,12,ADC,BAND,316B_L
S,66,ADCBAND1,VXS,19,13,ADC,BAND,416B_L
S,66,ADCBAND1,VXS,19,14,ADC,BAND,V17
S,66,ADCBAND1,VXS,19,15,ADC,BAND,V18
#,R8 Group,,,,,,,
S,`,ADCBAND1,VXS,20,0,ADC,BAND,116B_R
S,66,ADCBAND1,VXS,20,1,ADC,BAND,216B_R
S,66,ADCBAND1,VXS,20,2,ADC,BAND,316B_R
S,66,ADCBAND1,VXS,20,3,ADC,BAND,416B_R
S,66,ADCBAND1,VXS,20,4,ADC,BAND,117_R
S,66,ADCBAND1,VXS,20,5,ADC,BAND,217_R
S,66,ADCBAND1,VXS,20,6,ADC,BAND,317_R
S,66,ADCBAND1,VXS,20,7,ADC,BAND,417_R
S,66,ADCBAND1,VXS,20,8,ADC,BAND,118_R
S,66,ADCBAND1,VXS,20,9,ADC,BAND,218_R
S,66,ADCBAND1,VXS,20,10,ADC,BAND,318_R
S,66,ADCBAND1,VXS,20,11,ADC,BAND,418_R
S,66,ADCBAND1,VXS,20,12,ADC,BAND,V13A
S,66,ADCBAND1,VXS,20,13,ADC,BAND,V14A
S,66,ADCBAND1,VXS,20,14,ADC,BAND,V15A
S,66,ADCBAND1,VXS,20,15,ADC,BAND,V16A
